Entity,Code,Year,Total annual COâ‚‚ emissions from aviation
Austria,AUT,2013,1942942.8
Austria,AUT,2014,2069204.5
Austria,AUT,2015,2156687.0
Austria,AUT,2016,2244702.2
Austria,AUT,2017,2274704.2
Austria,AUT,2018,2537187.8
Austria,AUT,2019,2955016.2
Austria,AUT,2020,1006389.5
Austria,AUT,2021,1214195.1
Austria,AUT,2022,2067431.8
Austria,AUT,2023,2449485.0
Austria,AUT,2024,2645748.2
Belgium,BEL,2013,2445905.0
Belgium,BEL,2014,2666231.5
Belgium,BEL,2015,2784250.2
Belgium,BEL,2016,2667611.0
Belgium,BEL,2017,2783681.0
Belgium,BEL,2019,3189629.2
Belgium,BEL,2020,1427704.9
Belgium,BEL,2021,2172805.0
Belgium,BEL,2022,3086134.8
Belgium,BEL,2023,3135056.8
Belgium,BEL,2024,3281522.2
Bulgaria,BGR,2013,347417.47
Bulgaria,BGR,2014,377818.84
Bulgaria,BGR,2015,408916.25
Bulgaria,BGR,2016,499165.66
Bulgaria,BGR,2017,598333.7
Bulgaria,BGR,2018,687012.8
Bulgaria,BGR,2019,695736.25
Bulgaria,BGR,2020,361172.34
Bulgaria,BGR,2021,418876.44
Bulgaria,BGR,2022,572105.75
Bulgaria,BGR,2023,639494.6
Bulgaria,BGR,2024,672649.6
Croatia,HRV,2013,314342.88
Croatia,HRV,2014,329687.5
Croatia,HRV,2015,361921.03
Croatia,HRV,2016,414682.94
Croatia,HRV,2017,504167.34
Croatia,HRV,2018,587313.0
Croatia,HRV,2019,677025.9
Croatia,HRV,2020,203149.86
Croatia,HRV,2021,363367.4
Croatia,HRV,2022,589434.75
Croatia,HRV,2023,648810.9
Croatia,HRV,2024,741377.8
Cyprus,CYP,2015,765053.0
Cyprus,CYP,2016,830384.75
Cyprus,CYP,2017,925327.2
Cyprus,CYP,2021,559477.2
Cyprus,CYP,2022,869801.2
Cyprus,CYP,2023,1034530.44
Cyprus,CYP,2024,1053414.4
Czechia,CZE,2013,792871.94
Czechia,CZE,2014,794021.1
Czechia,CZE,2015,816738.8
Czechia,CZE,2016,954995.94
Czechia,CZE,2017,1109823.8
Czechia,CZE,2018,1279051.9
Czechia,CZE,2019,1352800.2
Czechia,CZE,2020,377765.38
Czechia,CZE,2021,428965.28
Czechia,CZE,2022,755190.75
Czechia,CZE,2023,948575.8
Czechia,CZE,2024,1177576.1
Denmark,DNK,2013,2227674.5
Denmark,DNK,2014,2303075.0
Denmark,DNK,2015,2433547.2
Denmark,DNK,2016,2737899.8
Denmark,DNK,2017,2782675.2
Denmark,DNK,2018,2965439.2
Denmark,DNK,2019,2971135.5
Denmark,DNK,2020,1025384.9
Denmark,DNK,2021,1241032.2
Denmark,DNK,2022,2118448.0
Denmark,DNK,2023,2422196.5
Denmark,DNK,2024,2659548.8
Estonia,EST,2013,102772.22
Estonia,EST,2014,111992.31
Estonia,EST,2015,127531.01
Estonia,EST,2016,135671.16
Estonia,EST,2017,156984.5
Estonia,EST,2018,168595.28
Estonia,EST,2022,181167.6
Finland,FIN,2013,1785723.1
Finland,FIN,2014,1817864.5
Finland,FIN,2015,1934752.5
Finland,FIN,2016,1977577.8
Finland,FIN,2017,2075602.8
Finland,FIN,2018,2352636.8
Finland,FIN,2019,2434024.2
Finland,FIN,2020,864716.9
Finland,FIN,2021,837422.6
Finland,FIN,2022,1559566.0
Finland,FIN,2023,1816349.9
Finland,FIN,2024,1931600.2
France,FRA,2013,19392612.0
France,FRA,2014,19952844.0
France,FRA,2015,20173416.0
France,FRA,2016,20270432.0
France,FRA,2017,20773766.0
France,FRA,2018,21779800.0
France,FRA,2019,22477580.0
France,FRA,2020,10026056.0
France,FRA,2021,11430324.0
France,FRA,2022,17481900.0
France,FRA,2023,19703268.0
France,FRA,2024,20484012.0
Germany,DEU,2013,22457504.0
Germany,DEU,2014,23227958.0
Germany,DEU,2015,24086176.0
Germany,DEU,2016,24827734.0
Germany,DEU,2017,25240464.0
Germany,DEU,2018,25708864.0
Germany,DEU,2019,26098392.0
Germany,DEU,2020,9669638.0
Germany,DEU,2021,11098691.0
Germany,DEU,2022,17866070.0
Germany,DEU,2023,20385050.0
Germany,DEU,2024,21716548.0
Greece,GRC,2013,1956750.5
Greece,GRC,2014,2305529.8
Greece,GRC,2015,2676013.8
Greece,GRC,2016,2937505.0
Greece,GRC,2017,3161480.5
Greece,GRC,2018,3662889.8
Greece,GRC,2019,3897872.5
Greece,GRC,2020,1481998.2
Greece,GRC,2021,2757269.8
Greece,GRC,2022,4132473.2
Greece,GRC,2023,4460585.5
Greece,GRC,2024,4895544.0
Hungary,HUN,2018,945409.3
Hungary,HUN,2021,391614.9
Hungary,HUN,2022,783788.56
Hungary,HUN,2023,960276.4
Hungary,HUN,2024,1170880.5
Ireland,IRL,2013,1791548.4
Ireland,IRL,2014,1976337.6
Ireland,IRL,2015,2247279.5
Ireland,IRL,2016,2483976.5
Ireland,IRL,2017,2773709.5
Ireland,IRL,2018,3054874.2
Ireland,IRL,2019,3202413.2
Ireland,IRL,2020,1176798.0
Ireland,IRL,2021,1138713.8
Ireland,IRL,2022,2762353.2
Ireland,IRL,2023,3100927.2
Ireland,IRL,2024,3125243.8
Italy,ITA,2013,10086854.0
Italy,ITA,2014,10458492.0
Italy,ITA,2015,10936170.0
Italy,ITA,2016,11624050.0
Italy,ITA,2017,12060305.0
Italy,ITA,2018,13014944.0
Italy,ITA,2019,13797322.0
Italy,ITA,2020,4511686.5
Italy,ITA,2021,5811581.0
Italy,ITA,2022,10595290.0
Italy,ITA,2023,12430346.0
Italy,ITA,2024,14278832.0
Latvia,LVA,2017,306908.8
Latvia,LVA,2018,329699.0
Latvia,LVA,2019,429453.72
Lithuania,LTU,2019,341613.7
Lithuania,LTU,2020,140523.08
Lithuania,LTU,2021,193180.77
Lithuania,LTU,2022,318307.25
Lithuania,LTU,2023,340869.84
Lithuania,LTU,2024,369208.75
Netherlands,NLD,2013,7859429.0
Netherlands,NLD,2014,8017811.0
Netherlands,NLD,2015,8407953.0
Netherlands,NLD,2016,8969127.0
Netherlands,NLD,2017,9475232.0
Netherlands,NLD,2018,9958722.0
Netherlands,NLD,2019,10217228.0
Netherlands,NLD,2020,5310349.5
Netherlands,NLD,2021,5962390.5
Netherlands,NLD,2022,7853536.0
Netherlands,NLD,2023,8561452.0
Netherlands,NLD,2024,9138794.0
Poland,POL,2013,1393346.9
Poland,POL,2014,1446165.2
Poland,POL,2015,1581522.4
Poland,POL,2016,1855305.8
Poland,POL,2017,2217578.5
Poland,POL,2018,2614434.2
Poland,POL,2019,3012347.5
Poland,POL,2020,1242958.8
Poland,POL,2021,1617565.8
Poland,POL,2022,2678790.8
Poland,POL,2023,3162979.5
Poland,POL,2024,3557345.8
Portugal,PRT,2013,3065104.0
Portugal,PRT,2014,3260431.0
Portugal,PRT,2015,3457172.0
Portugal,PRT,2016,3809848.5
Portugal,PRT,2017,4301552.5
Portugal,PRT,2018,4710623.0
Portugal,PRT,2019,5087823.0
Portugal,PRT,2020,2008937.4
Portugal,PRT,2021,2601854.2
Portugal,PRT,2022,4782634.5
Portugal,PRT,2023,5432128.5
Portugal,PRT,2024,5718987.0
Romania,ROU,2013,723209.4
Romania,ROU,2014,790918.5
Romania,ROU,2015,882743.5
Romania,ROU,2016,1057415.9
Romania,ROU,2017,1238982.9
Romania,ROU,2018,1311374.8
Romania,ROU,2019,1333929.9
Romania,ROU,2020,601036.75
Romania,ROU,2021,857598.44
Romania,ROU,2022,1313935.6
Romania,ROU,2023,1364177.2
Romania,ROU,2024,1473407.4
Slovakia,SVK,2013,73502.664
Slovakia,SVK,2014,92237.74
Slovakia,SVK,2015,116741.805
Slovakia,SVK,2016,120000.25
Slovakia,SVK,2017,120779.98
Slovakia,SVK,2018,150010.02
Slovakia,SVK,2019,153829.89
Slovakia,SVK,2020,43954.598
Slovakia,SVK,2021,57164.742
Slovakia,SVK,2022,126740.19
Slovakia,SVK,2023,141758.8
Slovakia,SVK,2024,166689.86
Slovenia,SVN,2022,73428.836
Spain,ESP,2013,14507872.0
Spain,ESP,2014,14939130.0
Spain,ESP,2015,15871504.0
Spain,ESP,2016,17596844.0
Spain,ESP,2017,18869764.0
Spain,ESP,2018,19900810.0
Spain,ESP,2019,20727732.0
Spain,ESP,2020,7315300.5
Spain,ESP,2021,9969655.0
Spain,ESP,2022,17670416.0
Spain,ESP,2023,19725742.0
Spain,ESP,2024,22142820.0
Sweden,SWE,2013,2318426.2
Sweden,SWE,2014,2461202.0
Sweden,SWE,2015,2577659.5
Sweden,SWE,2016,2877673.5
Sweden,SWE,2017,3098639.0
Sweden,SWE,2018,3178204.2
Sweden,SWE,2019,3091396.0
Sweden,SWE,2020,1021854.75
Sweden,SWE,2021,1160231.8
Sweden,SWE,2022,2171155.5
Sweden,SWE,2023,2292904.5
Sweden,SWE,2024,2225782.0
